,location,total_sqft,bath,price,bhk
55,7th Phase JP Nagar,1800.0,3.0,130.0,3
56,7th Phase JP Nagar,1050.0,2.0,68.0,2
57,7th Phase JP Nagar,1680.0,3.0,122.0,3
59,7th Phase JP Nagar,2095.0,3.0,150.0,3
60,7th Phase JP Nagar,1976.0,3.0,145.0,3
64,7th Phase JP Nagar,1450.0,2.0,102.0,3
65,7th Phase JP Nagar,1575.0,2.0,110.0,3
66,7th Phase JP Nagar,1430.0,2.0,102.0,3
68,7th Phase JP Nagar,1530.0,2.0,108.0,2
69,8th Phase JP Nagar,1062.0,2.0,42.47,2
70,8th Phase JP Nagar,1098.0,2.0,43.91,2
71,8th Phase JP Nagar,1800.0,3.0,80.0,3
72,8th Phase JP Nagar,2700.0,4.0,130.0,4
73,8th Phase JP Nagar,1062.0,2.0,42.47,2
74,8th Phase JP Nagar,2100.0,4.0,92.0,4
75,8th Phase JP Nagar,1035.0,2.0,39.33,2
76,8th Phase JP Nagar,909.0,2.0,40.9,2
77,8th Phase JP Nagar,1900.0,4.0,90.0,3
78,8th Phase JP Nagar,1089.0,2.0,43.55,2
80,8th Phase JP Nagar,2600.0,4.0,115.0,4
82,8th Phase JP Nagar,1089.0,2.0,43.55,2
84,8th Phase JP Nagar,1513.0,2.0,62.0,2
85,8th Phase JP Nagar,1298.0,2.0,59.0,2
86,8th Phase JP Nagar,1006.0,2.0,44.0,2
87,8th Phase JP Nagar,1245.0,2.0,59.0,2
88,8th Phase JP Nagar,1730.0,5.0,75.0,5
90,8th Phase JP Nagar,1046.0,2.0,48.0,2
92,9th Phase JP Nagar,1005.0,2.0,50.0,2
94,9th Phase JP Nagar,1035.0,2.0,45.0,2
95,9th Phase JP Nagar,1164.0,2.0,56.0,2
96,9th Phase JP Nagar,1127.0,2.0,50.0,2
97,9th Phase JP Nagar,1005.0,2.0,43.0,2
98,9th Phase JP Nagar,835.0,2.0,37.0,2
99,9th Phase JP Nagar,1466.0,2.0,71.0,2
100,9th Phase JP Nagar,1890.0,2.0,93.0,3
101,9th Phase JP Nagar,1073.0,2.0,52.36,2
102,9th Phase JP Nagar,1780.0,3.0,88.0,3
104,AECS Layout,1080.0,2.0,55.0,2
105,AECS Layout,1308.0,2.0,60.0,2
106,Abbigere,985.0,2.0,40.39,2
107,Abbigere,765.0,2.0,30.0,1
108,Abbigere,880.0,2.0,35.0,2
109,Abbigere,795.0,2.0,32.54,2
110,Abbigere,1005.0,2.0,39.59,2
111,Abbigere,1020.0,2.0,41.82,2
112,Abbigere,985.0,2.0,40.39,2
113,Abbigere,795.0,2.0,32.54,2
114,Abbigere,1130.0,2.0,46.33,2
115,Abbigere,795.0,1.0,32.6,2
116,Abbigere,985.0,2.0,38.92,2
117,Abbigere,1000.0,2.0,41.0,2
118,Abbigere,995.0,2.0,40.8,2
119,Abbigere,1020.0,2.0,40.8,2
120,Akshaya Nagar,1070.0,2.0,54.0,2
121,Akshaya Nagar,1662.0,3.0,85.1,3
122,Akshaya Nagar,1410.0,2.0,75.0,3
123,Akshaya Nagar,1662.0,3.0,85.0,3
124,Akshaya Nagar,1662.0,3.0,85.5,3
125,Akshaya Nagar,1430.0,2.0,75.0,3
126,Akshaya Nagar,1419.0,2.0,73.0,3
129,Akshaya Nagar,1884.0,3.0,98.0,3
130,Akshaya Nagar,1314.0,2.0,68.8,2
132,Akshaya Nagar,1265.0,2.0,67.0,2
133,Akshaya Nagar,1126.0,2.0,55.0,2
134,Akshaya Nagar,1420.0,2.0,75.0,3
135,Akshaya Nagar,1890.0,4.0,100.0,3
137,Akshaya Nagar,1820.0,4.0,95.0,3
138,Akshaya Nagar,1300.0,2.0,66.0,2
139,Akshaya Nagar,1421.0,2.0,73.0,3
141,Akshaya Nagar,900.0,2.0,45.0,2
142,Ambalipura,1800.0,3.0,110.0,3
143,Ambalipura,1332.0,2.0,79.0,2
144,Ambalipura,3500.0,3.0,198.0,3
145,Ambalipura,1351.0,2.0,77.0,2
146,Ambalipura,2550.0,4.0,149.0,4
147,Ambalipura,1817.0,3.0,102.0,3
148,Ambalipura,1303.0,2.0,80.0,2
149,Ambalipura,770.0,1.0,43.82,1
150,Ambalipura,1650.0,3.0,100.0,3
151,Ambedkar Nagar,1424.0,2.0,90.0,2
152,Ambedkar Nagar,1862.0,3.0,120.0,3
153,Ambedkar Nagar,1936.0,4.0,126.0,3
154,Ambedkar Nagar,1862.0,3.0,119.0,3
155,Ambedkar Nagar,1424.0,2.0,90.0,2
156,Ambedkar Nagar,1856.0,3.0,120.0,3
157,Ambedkar Nagar,1850.0,4.0,120.0,3
158,Ambedkar Nagar,1367.0,2.0,86.0,2
159,Ambedkar Nagar,1920.0,4.0,121.0,3
160,Ambedkar Nagar,1935.0,4.0,125.0,3
161,Ambedkar Nagar,1852.0,4.0,122.0,3
162,Ambedkar Nagar,1850.0,4.0,121.0,3
163,Ambedkar Nagar,1425.0,2.0,94.0,2
164,Amruthahalli,900.0,2.0,40.0,2
165,Amruthahalli,1200.0,2.0,55.0,2
166,Amruthahalli,924.0,2.0,45.0,2
167,Amruthahalli,1200.0,2.0,55.0,2
168,Amruthahalli,1350.0,2.0,63.0,3
169,Amruthahalli,1700.0,3.0,77.0,3
170,Amruthahalli,1200.0,2.0,55.0,2
171,Anandapura,1167.0,2.0,43.76,2
172,Anandapura,1141.0,2.0,42.79,2
174,Anandapura,1151.0,2.0,43.1,2
175,Anandapura,1141.0,2.0,42.75,2
176,Anandapura,1151.0,2.0,42.9,2
178,Anandapura,1151.0,2.0,43.16,2
179,Anandapura,1200.0,2.0,50.0,2
180,Anandapura,1141.0,2.0,50.0,2
182,Ananth Nagar,500.0,1.0,14.0,1
183,Ananth Nagar,1100.0,2.0,31.5,2
184,Ananth Nagar,500.0,2.0,14.0,1
185,Ananth Nagar,908.0,2.0,26.0,2
186,Ananth Nagar,500.0,1.0,14.0,1
187,Ananth Nagar,1000.0,2.0,29.7,2
188,Ananth Nagar,902.0,2.0,25.26,2
189,Ananth Nagar,890.0,2.0,27.0,2
190,Ananth Nagar,1200.0,2.0,36.0,2
192,Ananth Nagar,930.0,2.0,25.99,2
193,Ananth Nagar,500.0,1.0,14.0,1
194,Anekal,1200.0,1.0,36.0,2
195,Anekal,656.0,2.0,22.0,2
196,Anekal,620.0,2.0,22.0,2
197,Anekal,530.0,1.0,18.0,1
198,Anekal,1200.0,1.0,36.0,2
199,Anekal,1035.0,2.0,38.3,2
200,Anekal,1200.0,2.0,36.1,2
201,Anekal,1200.0,1.0,36.0,2
202,Anekal,1200.0,2.0,36.0,4
203,Anekal,766.0,2.0,28.0,2
204,Anekal,1200.0,1.0,36.0,2
205,Anekal,1200.0,1.0,36.0,2
206,Anekal,456.0,1.0,15.0,1
207,Anekal,1200.0,1.0,36.0,2
208,Anekal,1200.0,1.0,36.0,2
209,Anekal,1200.0,2.0,36.1,2
210,Anekal,1200.0,2.0,36.1,2
211,Anekal,680.0,1.0,21.0,2
212,Anekal,420.0,1.0,12.5,1
213,Anjanapura,1070.0,2.0,39.0,2
214,Anjanapura,1070.0,2.0,37.0,2
215,Anjanapura,1280.0,2.0,45.0,3
216,Anjanapura,710.0,2.0,25.0,2
217,Anjanapura,950.0,2.0,32.0,2
218,Anjanapura,1800.0,4.0,55.0,4
219,Anjanapura,950.0,2.0,30.0,2
220,Ardendale,1750.0,3.0,100.0,3
221,Ardendale,1750.0,3.0,100.0,3
222,Ardendale,1728.0,3.0,95.0,3
223,Ardendale,1224.0,2.0,70.0,2
224,Ardendale,1777.26,3.0,105.0,3
225,Ardendale,1224.0,2.0,67.0,2
226,Ardendale,1723.0,3.0,95.0,3
227,Arekere,2072.0,3.0,108.0,3
228,Arekere,1100.0,2.0,55.0,2
229,Arekere,2710.0,6.0,142.0,4
230,Arekere,1240.0,2.0,60.0,2
231,Arekere,900.0,2.0,44.5,2
232,Attibele,1600.0,4.0,52.8,4
233,Attibele,400.0,1.0,11.0,1
234,Attibele,400.0,1.0,12.0,1
235,Attibele,500.0,1.0,17.0,1
236,Attibele,395.0,1.0,10.25,1
238,Attibele,418.0,1.0,12.0,1
239,Attibele,400.0,1.0,10.0,1
240,Attibele,850.0,1.0,25.0,2
241,Attibele,450.0,1.0,12.5,1
245,Attibele,782.0,1.0,19.55,1
247,Attibele,400.0,1.0,11.5,1
248,Attibele,460.0,1.0,13.0,1
249,Attibele,418.0,2.0,11.5,1
251,Attibele,400.0,1.0,10.25,1
252,Attibele,520.0,1.0,15.0,1
253,BEML Layout,1060.0,2.0,55.0,2
254,BEML Layout,2000.0,3.0,85.0,3
255,BEML Layout,999.0,2.0,45.0,2
256,BEML Layout,2000.0,2.0,85.0,3
257,BEML Layout,2000.0,3.0,85.0,3
258,BEML Layout,2000.0,3.0,85.0,3
259,BTM 2nd Stage,950.0,2.0,52.0,2
260,BTM 2nd Stage,1200.0,2.0,80.0,2
261,BTM 2nd Stage,1274.0,2.0,70.0,2
262,BTM 2nd Stage,1280.0,2.0,80.0,2
263,BTM 2nd Stage,1100.0,2.0,70.0,2
264,BTM 2nd Stage,1000.0,2.0,58.0,2
265,BTM 2nd Stage,965.0,2.0,56.0,2
266,BTM 2nd Stage,1147.0,2.0,75.0,2
267,BTM 2nd Stage,1400.0,2.0,90.0,2
268,BTM 2nd Stage,1200.0,2.0,70.0,2
269,BTM 2nd Stage,930.0,2.0,46.0,2
270,BTM Layout,1150.0,2.0,63.0,2
271,BTM Layout,3300.0,6.0,165.0,6
272,BTM Layout,1450.0,2.0,81.0,3
273,BTM Layout,1458.0,3.0,79.0,3
274,BTM Layout,935.0,2.0,51.5,2
275,BTM Layout,1540.0,2.0,78.0,3
276,Babusapalaya,1500.0,2.0,57.0,2
277,Babusapalaya,1105.0,2.0,40.0,2
278,Babusapalaya,1450.0,2.0,55.99,2
279,Babusapalaya,1061.0,2.0,38.95,2
280,Balagere,1210.0,2.0,72.0,2
281,Balagere,1205.0,2.0,78.5,2
282,Balagere,1007.0,2.0,65.0,2
283,Balagere,1210.0,2.0,74.0,2
284,Balagere,1012.0,2.0,64.0,2
285,Balagere,1007.0,2.0,62.0,2
286,Balagere,1012.0,2.0,65.0,2
287,Balagere,656.0,1.0,38.77,1
288,Balagere,645.0,1.0,39.0,1
289,Balagere,645.0,1.0,41.0,1
290,Balagere,1205.0,2.0,73.87,2
291,Banashankari,1470.0,2.0,88.64,3
292,Banashankari,1300.0,2.0,75.0,3
293,Banashankari,1125.0,2.0,63.0,2
294,Banashankari,1310.0,2.0,80.0,2
296,Banashankari,1260.0,2.0,75.0,2
297,Banashankari,1350.0,2.0,83.0,3
298,Banashankari,1330.0,2.0,78.0,2
300,Banashankari,1390.0,2.0,86.0,2
301,Banashankari,1460.0,2.0,70.0,2
302,Banashankari,1200.0,2.0,60.0,2
303,Banashankari,1290.0,2.0,80.0,2
304,Banashankari,1186.0,2.0,65.0,2
305,Banashankari,1650.0,3.0,101.0,3
306,Banashankari,1330.0,2.0,77.0,2
307,Banashankari,1185.0,2.0,67.0,2
308,Banashankari,1000.0,2.0,50.0,2
310,Banashankari,1650.0,3.0,101.0,3
311,Banashankari,1310.0,2.0,80.43,2
312,Banashankari,1430.0,2.0,87.8,2
315,Banashankari,1770.0,3.0,108.0,3
317,Banashankari,1200.0,3.0,74.52,3
318,Banashankari,1100.0,2.0,63.0,2
319,Banashankari,1260.0,2.0,75.0,2
320,Banashankari,1426.0,3.0,85.0,3
321,Banashankari Stage II,1700.0,2.0,150.0,2
322,Banashankari Stage II,1200.0,2.0,150.0,4
323,Banashankari Stage II,1500.0,2.0,120.0,3
324,Banashankari Stage II,1250.0,2.0,110.0,2
325,Banashankari Stage II,2400.0,2.0,300.0,3
326,Banashankari Stage II,1245.0,2.0,125.0,2
327,Banashankari Stage III,1305.0,2.0,58.7,3
328,Banashankari Stage III,1145.0,2.0,58.4,2
329,Banashankari Stage III,1350.0,2.0,68.0,3
330,Banashankari Stage III,2000.0,4.0,100.0,4
331,Banashankari Stage III,1305.0,2.0,59.0,3
332,Banashankari Stage III,1305.0,2.0,60.0,3
333,Banashankari Stage III,1305.0,2.0,59.0,3
334,Banashankari Stage III,1480.0,3.0,75.48,3
335,Banashankari Stage III,1305.0,2.0,59.0,3
336,Banashankari Stage III,3000.0,6.0,150.0,6
337,Banashankari Stage III,1085.0,2.0,50.0,2
338,Banashankari Stage V,1035.0,2.0,35.77,2
339,Banashankari Stage V,1510.0,3.0,47.57,3
340,Banashankari Stage V,1650.0,3.0,51.98,3
341,Banashankari Stage V,1630.0,3.0,51.35,3
342,Banashankari Stage V,1510.0,3.0,47.57,3
343,Banashankari Stage V,1540.0,3.0,48.51,3
344,Banashankari Stage VI,1177.5,2.0,59.935,2
345,Banashankari Stage VI,1160.0,2.0,59.0,2
346,Banashankari Stage VI,1180.0,2.0,59.47,2
347,Banashankari Stage VI,1423.0,2.0,71.73,3
348,Banashankari Stage VI,1392.0,3.0,69.46,3
349,Banashankari Stage VI,1410.5,2.0,70.385,3
350,Banaswadi,1145.0,2.0,55.0,2
351,Banaswadi,1250.0,2.0,60.0,2
352,Banaswadi,1200.0,2.0,60.0,2
353,Banaswadi,1008.0,2.0,52.0,2
354,Banaswadi,1105.0,2.0,57.0,2
355,Bannerghatta,3012.0,6.0,250.0,4
356,Bannerghatta,2370.0,4.0,195.0,3
357,Bannerghatta,1070.0,2.0,87.0,2
358,Bannerghatta,1776.0,3.0,124.0,3
359,Bannerghatta Road,1170.0,2.0,66.0,3
360,Bannerghatta Road,595.0,1.0,33.32,1
361,Bannerghatta Road,1179.0,2.0,66.02,2
362,Bannerghatta Road,1122.5,2.0,58.935,2
363,Bannerghatta Road,793.0,2.0,45.0,2
364,Bannerghatta Road,1400.0,2.0,78.0,2
365,Bannerghatta Road,2700.0,5.0,158.0,5
367,Bannerghatta Road,595.0,1.0,31.83,1
368,Bannerghatta Road,1255.0,2.0,65.26,2
372,Bannerghatta Road,1115.0,2.0,65.12,2
374,Bannerghatta Road,1275.0,2.0,65.0,2
376,Bannerghatta Road,1260.0,2.0,70.0,2
378,Bannerghatta Road,1150.0,2.0,65.0,2
380,Bannerghatta Road,1486.0,3.0,83.22,3
382,Bannerghatta Road,1115.0,2.0,61.0,2
383,Bannerghatta Road,1200.0,2.0,69.0,3
385,Bannerghatta Road,1302.5,2.0,67.73,2
386,Bannerghatta Road,1200.0,2.0,65.0,2
387,Bannerghatta Road,1240.0,2.0,65.0,2
388,Bannerghatta Road,1532.5,3.0,84.29,3
389,Bannerghatta Road,1268.0,2.0,69.0,2
390,Bannerghatta Road,1275.0,2.0,73.0,2
391,Bannerghatta Road,1240.0,2.0,71.0,2
392,Bannerghatta Road,1215.0,2.0,68.0,2
393,Bannerghatta Road,1215.0,2.0,68.0,2
396,Bannerghatta Road,630.0,1.0,35.0,1
397,Bannerghatta Road,1215.0,2.0,68.0,2
398,Bannerghatta Road,1365.0,3.0,76.18,3
401,Bannerghatta Road,1650.0,3.0,94.0,3
402,Bannerghatta Road,1000.0,2.0,50.0,2
405,Bannerghatta Road,1460.0,2.0,80.0,3
408,Bannerghatta Road,1115.0,2.0,61.0,2
417,Bannerghatta Road,1270.0,2.0,73.0,3
418,Bannerghatta Road,1122.5,2.0,61.74,2
419,Bannerghatta Road,1655.0,3.0,95.0,3
420,Bannerghatta Road,1150.0,2.0,55.0,2
421,Bannerghatta Road,1215.0,2.0,65.0,2
422,Bannerghatta Road,1470.0,2.0,85.0,3
423,Bannerghatta Road,970.0,2.0,57.0,2
424,Basavangudi,1500.0,2.0,143.0,3
425,Basavangudi,2600.0,4.0,260.0,4
426,Basavangudi,1600.0,2.0,160.0,3
427,Basavangudi,1825.0,3.0,175.0,3
428,Basavangudi,1050.0,2.0,103.0,2
429,Basavangudi,1350.0,2.0,130.0,3
430,Basavangudi,1485.0,3.0,140.0,3
431,Basavangudi,1200.0,2.0,120.0,2
432,Basaveshwara Nagar,1865.0,3.0,145.0,3
433,Basaveshwara Nagar,1200.0,2.0,90.0,2
434,Basaveshwara Nagar,1900.0,3.0,150.0,3
435,Basaveshwara Nagar,1200.0,2.0,85.0,2
436,Battarahalli,1779.0,3.0,89.61,3
437,Battarahalli,1945.0,3.0,97.42,3
438,Battarahalli,1880.0,3.0,94.36,3
439,Battarahalli,1636.0,2.0,82.89,2
440,Battarahalli,1779.0,3.0,90.0,3
441,Battarahalli,2082.0,3.0,104.0,3
442,Battarahalli,2024.0,3.0,103.0,3
443,Begur,1580.0,3.0,75.0,3
444,Begur,1475.0,2.0,74.0,3
445,Begur,1100.0,2.0,55.0,2
446,Begur,1306.0,2.0,65.0,2
447,Begur,1304.0,3.0,65.0,3
448,Begur,815.0,2.0,40.0,2
449,Begur,1443.0,2.0,70.0,3
450,Begur Road,1200.0,2.0,44.0,2
452,Begur Road,1615.0,3.0,59.76,3
453,Begur Road,1200.0,2.0,43.2,2
454,Begur Road,1200.0,2.0,45.0,2
455,Begur Road,1615.0,3.0,60.0,3
456,Begur Road,1410.0,2.0,53.0,3
457,Begur Road,1260.0,2.0,46.62,2
459,Begur Road,1160.0,2.0,42.0,2
460,Begur Road,1200.0,2.0,45.0,2
462,Begur Road,1410.0,2.0,52.17,3
464,Begur Road,1160.0,2.0,42.92,2
465,Begur Road,1410.0,2.0,52.17,3
466,Begur Road,1160.0,2.0,42.0,2
467,Begur Road,1200.0,2.0,45.0,2
468,Begur Road,1160.0,2.0,42.0,2
469,Begur Road,1565.0,2.0,57.91,3
470,Begur Road,1200.0,2.0,44.4,2
472,Begur Road,1240.0,2.0,45.88,2
473,Begur Road,1200.0,2.0,44.0,2
474,Begur Road,1565.0,2.0,57.91,3
475,Begur Road,1200.0,2.0,44.4,2
476,Begur Road,1215.0,2.0,43.75,2
477,Begur Road,1200.0,2.0,44.73,2
478,Begur Road,1160.0,2.0,42.0,2
479,Bellandur,1767.0,3.0,103.0,3
480,Bellandur,1205.0,2.0,66.0,2
481,Bellandur,1000.0,2.0,50.0,2
482,Bellandur,1281.0,2.0,74.0,2
483,Bellandur,2025.0,4.0,109.0,4
487,Bellandur,1220.0,2.0,60.0,2
488,Bellandur,1350.0,2.0,79.0,2
489,Bellandur,1457.0,2.0,85.0,2
490,Bellandur,1310.0,2.0,72.0,2
491,Bellandur,1051.0,2.0,60.0,2
493,Bellandur,1100.0,2.0,62.0,2
494,Bellandur,1685.0,3.0,100.0,3
495,Bellandur,982.0,2.0,55.0,2
496,Bellandur,1205.0,2.0,59.0,2
497,Bellandur,1063.0,2.0,58.0,2
498,Bellandur,1201.0,2.0,59.99,2
499,Bellandur,1325.0,2.0,65.0,2
501,Bellandur,1015.0,2.0,60.0,2
502,Bellandur,1049.0,2.0,51.0,2
503,Bellandur,1211.0,2.0,63.0,2
504,Bellandur,1200.0,2.0,62.0,2
509,Bellandur,960.0,2.0,48.0,2
510,Bellandur,850.0,2.0,45.0,2
513,Bellandur,1535.0,3.0,90.0,3
514,Benson Town,4460.0,5.0,650.0,4
515,Benson Town,2850.0,4.0,470.0,3
516,Benson Town,3633.0,6.0,550.0,4
517,Benson Town,1688.12,2.0,270.0,2
518,Benson Town,1805.0,3.0,280.0,3
519,Benson Town,1688.0,2.0,280.0,2
520,Bharathi Nagar,1322.0,2.0,68.0,2
521,Bharathi Nagar,1351.0,2.0,70.0,2
522,Bharathi Nagar,1432.0,2.0,68.0,2
523,Bharathi Nagar,1328.0,2.0,69.0,2
524,Bhoganhalli,2119.0,4.0,111.0,4
526,Bhoganhalli,1444.0,2.0,75.97,2
527,Bhoganhalli,1447.0,2.0,75.97,2
528,Bhoganhalli,1447.0,2.0,75.97,2
529,Bhoganhalli,2072.5,2.0,111.0,4
531,Bhoganhalli,1974.0,4.0,106.0,4
532,Bhoganhalli,2171.0,4.0,111.0,4
533,Bhoganhalli,2119.0,4.0,111.0,4
534,Bhoganhalli,1447.0,2.0,75.97,2
535,Bhoganhalli,1447.0,2.0,75.97,2
536,Bhoganhalli,2119.0,4.0,111.0,4
537,Bhoganhalli,1458.0,3.0,78.45,3
538,Bhoganhalli,1444.0,2.0,75.97,2
539,Bhoganhalli,1205.0,2.0,64.47,2
540,Bhoganhalli,1447.0,2.0,75.97,2
541,Bhoganhalli,2119.0,4.0,111.0,4
542,Bhoganhalli,1260.0,2.0,69.9,2
544,Bhoganhalli,970.0,2.0,52.5,2
546,Bhoganhalli,2119.0,4.0,111.0,4
547,Billekahalli,1935.0,3.0,110.0,3
548,Billekahalli,1125.0,2.0,62.0,2
549,Billekahalli,1112.0,2.0,62.0,2
550,Billekahalli,1125.0,2.0,65.0,2
551,Billekahalli,950.0,2.0,56.0,2
552,Binny Pete,660.0,1.0,54.0,1
553,Binny Pete,1740.0,3.0,150.0,3
554,Binny Pete,1970.0,3.0,164.0,3
555,Bisuvanahalli,1180.0,3.0,48.0,3
556,Bisuvanahalli,1075.0,2.0,45.0,3
557,Bisuvanahalli,845.0,2.0,33.0,2
558,Bisuvanahalli,1075.0,2.0,45.0,3
559,Bisuvanahalli,1180.0,2.0,46.0,3
560,Bisuvanahalli,1075.0,2.0,42.0,3
561,Bisuvanahalli,1075.0,2.0,43.0,3
562,Bisuvanahalli,1075.0,2.0,41.0,3
563,Bisuvanahalli,845.0,2.0,33.0,2
564,Bisuvanahalli,1180.0,2.0,45.0,3
565,Bisuvanahalli,1075.0,2.0,43.0,3
566,Bisuvanahalli,1080.0,2.0,45.0,3
567,Bisuvanahalli,1075.0,2.0,45.0,3
568,Bisuvanahalli,1075.0,2.0,44.0,3
569,Bisuvanahalli,1075.0,2.0,42.0,3
570,Bisuvanahalli,1075.0,2.0,41.49,3
571,Bisuvanahalli,845.0,2.0,34.0,2
572,Bommanahalli,3000.0,8.0,140.0,8
573,Bommanahalli,1375.0,3.0,59.0,3
574,Bommanahalli,1250.0,3.0,55.0,3
575,Bommanahalli,1050.0,2.0,46.0,2
576,Bommanahalli,1160.0,2.0,53.0,2
579,Bommasandra,1035.0,2.0,41.0,2
580,Bommasandra,1034.0,2.0,40.0,2
581,Bommasandra,1035.0,2.0,41.43,2
583,Bommasandra,1015.0,2.0,40.0,2
584,Bommasandra,1005.0,2.0,39.77,2
585,Bommasandra,1020.0,2.0,40.89,2
586,Bommasandra,800.0,1.0,32.0,2
588,Bommasandra,1127.0,2.0,45.0,2
592,Bommasandra,955.0,2.0,37.97,2
594,Bommasandra Industrial Area,1090.0,2.0,31.48,2
595,Bommasandra Industrial Area,1320.0,2.0,38.12,3
596,Bommasandra Industrial Area,1400.0,2.0,40.44,3
598,Bommasandra Industrial Area,1020.0,2.0,29.45,2
599,Bommasandra Industrial Area,1165.0,2.0,33.64,2
600,Bommasandra Industrial Area,1090.0,2.0,31.48,2
602,Bommasandra Industrial Area,1000.0,2.0,28.88,2
603,Bommasandra Industrial Area,1020.0,2.0,29.45,2
604,Bommasandra Industrial Area,1125.0,2.0,32.49,2
605,Bommasandra Industrial Area,1125.0,2.0,32.49,2
606,Bommasandra Industrial Area,1130.0,2.0,32.64,2
607,Bommasandra Industrial Area,1065.0,2.0,30.75,2
608,Brookefield,1150.0,2.0,69.0,2
609,Brookefield,1142.0,2.0,70.0,2
612,Brookefield,1262.0,2.0,75.0,2
613,Brookefield,1125.0,2.0,70.0,2
614,Brookefield,1420.0,3.0,85.0,3
615,Brookefield,941.0,2.0,48.0,2
617,Brookefield,1100.0,2.0,55.0,2
618,Brookefield,2400.0,3.0,140.0,4
619,Brookefield,1225.0,2.0,66.5,2
620,Brookefield,1200.0,2.0,75.0,2
621,Brookefield,1225.0,2.0,72.0,2
623,Brookefield,1382.0,2.0,84.5,2
624,Brookefield,1260.0,2.0,70.0,2
625,Budigere,1153.0,2.0,56.4,2
626,Budigere,1162.0,2.0,59.9,2
627,Budigere,1153.0,2.0,57.0,2
628,Budigere,1162.0,2.0,57.0,2
629,Budigere,1139.0,2.0,56.8,2
630,Budigere,1139.0,2.0,56.85,2
631,Budigere,1991.0,4.0,100.0,3
632,Budigere,1820.0,3.0,93.0,3
633,Budigere,1820.0,3.0,93.0,3
634,Budigere,1162.0,2.0,58.0,2
635,Budigere,1087.0,2.0,54.3,2
636,Budigere,1153.0,2.0,56.7,2
637,Budigere,1139.0,2.0,56.5,2
638,Budigere,1636.0,3.0,83.0,3
639,Budigere,664.0,1.0,34.0,1
640,Budigere,1162.0,2.0,58.0,2
641,Budigere,1991.0,4.0,100.0,3
642,Budigere,705.0,1.0,34.545,1
643,Budigere,1153.0,2.0,56.5,2
644,Budigere,1153.0,2.0,58.0,2
645,Budigere,1153.0,2.0,56.55,2
646,Budigere,1153.0,2.0,56.5,2
647,CV Raman Nagar,1120.0,2.0,55.0,2
648,CV Raman Nagar,1070.0,2.0,55.0,2
649,CV Raman Nagar,740.0,2.0,37.0,2
650,CV Raman Nagar,1028.0,2.0,49.0,2
651,CV Raman Nagar,1025.0,2.0,50.0,2
652,CV Raman Nagar,1198.0,2.0,60.0,2
653,CV Raman Nagar,1560.0,2.0,85.0,2
654,CV Raman Nagar,1590.0,2.0,85.0,3
655,CV Raman Nagar,1100.0,2.0,58.0,2
656,CV Raman Nagar,1020.0,2.0,55.0,2
657,CV Raman Nagar,1285.0,2.0,65.0,2
